año,mes,máxima,mínima,media
1991,Enero,28.4,19.8,24.1
1991,Febrero,27.8,17.8,22.8
1991,Marzo,27.6,18.4,23
1991,Abril,22.4,13.6,18
1991,Mayo,20.7,12.2,16.45
1991,Junio,14.8,7.6,11.2
1991,Julio,14.8,6.7,10.75
1991,Agosto,17.1,9.3,13.2
1991,Septiembre,20.5,11.7,16.1
1991,Octubre,21.1,12.2,16.65
1991,Noviembre,24.3,15.3,19.8
1991,Diciembre,27.8,18.7,23.25
1992,Enero,28.5,19.8,24.15
1992,Febrero,29,19.8,24.4
1992,Marzo,27.4,18.9,23.15
1992,Abril,21.9,13.2,17.55
1992,Mayo,18.5,10.1,14.3
1992,Junio,16.6,10.3,13.45
1992,Julio,12.6,5.3,8.95
1992,Agosto,17.8,8.5,13.15
1992,Septiembre,19.1,10.3,14.7
1992,Octubre,23.6,12.9,18.25
1992,Noviembre,23.4,14,18.7
1992,Diciembre,27.7,18.7,23.2
1993,Enero,30.7,21.2,25.95
1993,Febrero,27,19,23
1993,Marzo,28,18.8,23.4
1993,Abril,23.2,14.6,18.9
1993,Mayo,18.4,10.7,14.55
1993,Junio,15.5,8.5,12
1993,Julio,13.7,6.2,9.95
1993,Agosto,18.2,8,13.1
1993,Septiembre,18.3,9.4,13.85
1993,Octubre,20.9,14.2,17.55
1993,Noviembre,23.6,15.8,19.7
1993,Diciembre,25.8,18.2,22
1994,Enero,28.4,18.7,23.55
1994,Febrero,28.9,19.3,24.1
1994,Marzo,26.6,17.6,22.1
1994,Abril,22.3,13.2,17.75
1994,Mayo,20.2,12.5,16.35
1994,Junio,16.6,9.6,13.1
1994,Julio,15.3,7.5,11.4
1994,Agosto,17,8.8,12.9
1994,Septiembre,20.3,11.7,16
1994,Octubre,21.6,13.3,17.45
1994,Noviembre,26.9,17.1,22
1994,Diciembre,30.7,20.5,25.6
1995,Enero,29.4,19.5,24.45
1995,Febrero,28.4,18.4,23.4
1995,Marzo,27.4,17.3,22.35
1995,Abril,23.3,13.5,18.4
1995,Mayo,19.5,10.8,15.15
1995,Junio,15.7,7.2,11.45
1995,Julio,15.4,7,11.2
1995,Agosto,16.9,7.8,12.35
1995,Septiembre,19.9,11.1,15.5
1995,Octubre,22.3,12.6,17.45
1995,Noviembre,26.4,17,21.7
1995,Diciembre,30.1,19.3,24.7
1996,Enero,30.1,19.9,25
1996,Febrero,28.9,19.1,24
1996,Marzo,28.5,18.8,23.65
1996,Abril,22.8,14.8,18.8
1996,Mayo,20.5,10.8,15.65
1996,Junio,15,5.6,10.3
1996,Julio,14.6,5.9,10.25
1996,Agosto,20.3,10.3,15.3
1996,Septiembre,18.5,9.6,14.05
1996,Octubre,23.1,14.2,18.65
1996,Noviembre,26.9,17.1,22
1996,Diciembre,29.6,20,24.8
1997,Enero,31.5,21.7,26.6
1997,Febrero,28.4,18.6,23.5
1997,Marzo,27.7,17.9,22.8
1997,Abril,25.4,15.2,20.3
1997,Mayo,21.5,12.5,17
1997,Junio,15.9,9,12.45
1997,Julio,17.8,10.5,14.15
1997,Agosto,19.3,10.5,14.9
1997,Septiembre,19.3,10,14.65
1997,Octubre,21.7,13.5,17.6
1997,Noviembre,24.6,15.9,20.25
1997,Diciembre,26.7,17.6,22.15
1998,Enero,27.2,18.3,22.75
